Question,Option1,Option2,Option3,Option4,CorrectAnswer
"¿Qué se debería encontrar siempre antes de la toma de antena en un emisor?:","Un interruptor","El mezclador","La etapa de potencia","Un filtro paso bajo o paso banda",4
"Cuando una instalación de radioaficionado afecta o interfiere a una ICT (Infraestructura Común de Telecomunicaciones):","Se puede seguir emitiendo si se dispone de licencia o autorización de radioaficionado","Se tiene que dejar de emitir, al menos temporalmente","Se comunica al presidente de la comunidad","Se debe apagar la instalación de ICT",2
"Si a la entrada de un mezclador se aplican las frecuencias 14 MHz y 4 MHz, indique qué frecuencia dará a la salida:","14.4 MHz","1 MHz","200 MHz","10 MHz",4
"Un medidor de Relación de Ondas Estacionarias (R.O.E.):","Mide la robustez del equipo","Mide el rizado de la señal transmitida","Mide la relación entre la señal incidente en la antena y la reflejada por ésta","No existe",3
"Un termistor NTC es:","Una resistencia cuyo valor se reduce a medida que la temperatura aumenta","Una resistencia cuyo valor aumenta a medida que la temperatura aumenta","Una resistencia cuyo valor se mantiene constante a medida que la temperatura aumenta","Una resistencia cuyo valor se mantiene constante a medida que la temperatura disminuye",1
"El margen dinámico de un receptor queda determinado fundamentalmente en:","El primer mezclador de entrada","El oscilador local","El demodulador","El amplificador de audiofrecuencia",1
"Se conoce como "selectividad" de un receptor:","El grado de selección efectuado en la fabricación","El número de bandas de frecuencia que puede seleccionar","La capacidad que tiene para separar dos señales de frecuencias próximas","La diferencia que existe entre la señal sintonizada y el ruido",3
"Un dipolo de media onda, para la banda de 40 metros, debe tener una longitud aproximada de:","10 m","20 m","40 m","80 m",2
"Se conoce como "frecuencia de corte" de una guía de onda a:","La frecuencia por debajo de la cual no es posible la transmisión en la guía de onda","La frecuencia máxima de la transmisión","La frecuencia intermedia","La frecuencia con la que debe cortarse la guía para la transmisión",1
"¿Hay alguna limitación para las radiaciones espurias en el servicio de radioaficionados, en la banda HF?:","No hay limitaciones","Sí, 40 dB por debajo de la potencia media, dentro de la anchura de banda necesaria y no superar el valor de 50 mW","Sí, menor que 30 dBm","Sólo cuando hay interferencias",2
"Si se reduce la sección de un conductor:","La resistencia eléctrica aumenta","La resistencia eléctrica disminuye","Disminuye la temperatura del conductor","Aumenta el número de átomos por centímetro cuadrado",1
"Decimos que hay sobremodulación, cuando:","Se emiten 2 portadoras","El volumen está al máximo","El índice de modulación es inferior a 100%","El índice modulación es superior al 100%",4
"En que bandas de frecuencia predomina el modo de propagación por onda ionosférica:","VHF","HF","UHF","LF",2
"En una antena directiva tipo Yagui los elementos parásitos:","Se conectan al cable de alimentación","Necesitan un balun para su adaptación","Proporcionan directividad","Permiten aumentar el ancho de banda de emisión",3
"Si en el siguiente esquema el conjunto L-C resuena a la frecuencia del transmisor, se puede afirmar que la potencia medida por el vatímetro será:","Igual a la del transmisor","La mitad de la disipada en el circuito L-C","Mínima","El doble de la disipada en el circuito L-C",3
"En una transmisión radioeléctrica, ¿se atenúan las ondas por la propagación?:","No, nunca","A veces","Sí, siempre","Sólo se atenúan si hay lluvia",3
"¿Cuál es el tipo de conductor más inmune a las interferencias radiadas?:","Fibra óptica","Cable coaxial","Cable paralelo","Hilo de cobre desnudo",1
"La ley de Coulomb dice que la fuerza entre dos cargas eléctricas es:","Directamente proporcional a la distancia de separación","Directamente proporcional al cuadrado de la distancia de separación","Inversamente proporcional a las cargas","Directamente proporcional al producto de las cargas",4
"La diferencia de potencial eléctrico se mide en:","Vatios","Faradios","Microfaradios","Voltios",4
"¿A qué se suele llamar "frecuencias imagen" en un receptor?:","A las frecuencias portadoras de las imágenes","A las frecuencias dos veces mayor que las intermedias, por encima y por debajo de las frecuencias centrales originales","A las partes imaginarias de las frecuencias","A las simetrías de de cada frecuencia",2
"Cuando se produce una interferencia perjudicial que afecta a la seguridad de la vida humana:","Se debe bajar el volumen","Se debe llamar a la Jefatura Provincial correspondiente solicitando ayuda","Se debe dejar de emitir hasta resolver el problema","Se debe emitir con menor potencia",3
"En el siguiente esquema eléctrico el diodo está actuando como:","Amplificador de tensión","Detector de envolvente","Filtro paso banda","Rectificador de onda completa",2
"Las emisiones situadas fuera de la banda necesaria están constituidas por:","La frecuencia imagen más los armónicos","El conjunto de emisiones no esenciales y las emisiones fuera de banda","El nivel de campo mínimo utilizable","Las emisiones parásitas",2
"La velocidad de propagación de las ondas electromagnéticas siempre es igual a:","La frecuencia dividida por la longitud de onda","La longitud de onda dividida por la frecuencia","La longitud de onda multiplicada por la frecuencia","300.000 Km/seg",3
"En los modernos transceptores el uso de procesadores digitales de señal (DSP) permite entre otras cosas:","Duplicar la potencia de emisión","Optimizar los filtros del transceptor","Disminuir la potencia reflejada en la línea de transmisión","Incrementar el tiempo de transmisión sin calentamiento del equipo",2
"Los transistores bipolares son dispositivos que:","Son elementos pasivos","Siempre dan más potencia que las válvulas","Tienen tres terminales","Disponen de rejilla",3
"El siguiente diagrama de radiación corresponde a una antena tipo:","Omnidireccional","Dipolo","Directiva","Isotrópica",3
"Las bandas de colores en un condensador indican:","Los materiales de los que está hecho","Su precio","Su garantía","Su capacidad, su tolerancia y su tensión máxima de trabajo",4